Country,type,1970,1980,1990,2000,2010,2020
Ukraine,Sheep [02122],,,,1059500,1197000,658800
United Arab Emirates,Sheep [02122],95000,132237,254165,494917,1350665,2006069
United Kingdom of Great Britain and Northern Ireland,Sheep [02122],26189888,21609008,43828000,42264000,31084000,32697000
"Tanzania, United Republic of",Sheep [02122],2823000,3774800,3556985,3501233,3592700,7854765
United States of America,Sheep [02122],20423008,12699000,11358000,7032000,5620000,5200000
Uruguay,Sheep [02122],19892752,20033008,25245000,13198000,7710000,6337000
Uzbekistan,Sheep [02122],,,,7760500,12081900,18829200
Vanuatu,Sheep [02122],,,,,,
Venezuela (Bolivarian Republic of),Sheep [02122],140000,344000,351200,471216,586950,604587
Viet nam,Sheep [02122],,,,,,
Yemen,Sheep [02122],2167000,2953000,4810000,6193000,9206000,9238763
Zambia,Sheep [02122],32000,27540,60000,140000,220000,257921
Zimbabwe,Sheep [02122],811000,387000,599000,690000,309305,375942
