Turkmenistan,,,,550000,1588800,1649200
Tuvalu,1000,1300,2700,4000,4900,5600
Uganda,830000,1320000,1896000,2697400,3468000,3626300
Ukraine,,,,10561200,17260000,20251100
United Arab Emirates,8500,194900,670000,1220000,2000000,2463100
United Kingdom of Great Britain and Northern Ireland,13744400,11600000,12463600,15450400,15200000,17200000
"Tanzania, United Republic of",1080000,1700000,2050000,2779800,3350000,3799500
United States of America,92090000,105300000,133200000,186000000,862360000,922210000
Uruguay,526800,587600,800000,1300000,1650000,3977900
Uzbekistan,,,,1410000,3260000,6130700
Vanuatu,17000,27000,30000,34000,60000,53700
Venezuela (Bolivarian Republic of),1872400,4398900,5661000,12000000,11700000,12914200
Viet nam,4490000,4520000,7520000,15231000,21820100,40950000
Yemen,242400,424000,1744300,2960000,6000000,7013700
Zambia,897000,2063800,1570000,2900000,3500000,4108500
Zimbabwe,750000,820000,1200000,1750000,2351900,757900
